BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
16;256;20;2;c;c;1;0.162662;0.162662;;482.156519;482.156519;165.485517;16128.0;1.0;78428736;216;216;10.864049378465776;44.38102998696219
16;256;20;2;d;d;1;0.617114;0.617114;;127.089627;127.089627;165.485517;16128.0;1.0;78428736;216;216;2.8636005665079702;44.38102998696219
16;256;20;8;a;a;1;2.414797;2.414797;;32.478399;32.478399;165.485517;0.0;1.0;78428736;216;216;129.9908721105749;0.2498513674197384
16;256;20;8;b;b;1;2.244637;2.244637;;34.940503;34.940503;165.485517;0.0;1.0;78428736;216;216;139.84513665238524;0.2498513674197384
16;256;20;8;c;c;1;0.910677;0.910677;;86.121376;86.121376;165.485517;37632.0;1.0;78428736;216;216;1.3619757608899754;63.23266253869969
16;256;20;8;d;d;1;1.8112;1.8112;;43.302086;43.302086;165.485517;37632.0;1.0;78428736;216;216;0.6848056537102474;63.23266253869969
16;512;1;1;a;a;1;0.115661;0.115661;;20.239355;20.239355;5.433922;0.0;1.0;2340900;510;510;89.9525336976163;0.225
16;512;1;1;b;b;1;0.114893;0.114893;;20.374644;20.374644;5.433922;0.0;1.0;2340900;510;510;90.55381964088326;0.225
16;512;1;1;c;c;1;0.114995;0.114995;;20.356501;20.356501;5.433922;1296.0;1.0;2340900;510;510;20.587886429844776;0.9887628489751231
16;512;1;1;d;d;1;0.11223;0.11223;;20.857986;20.857986;5.433922;1296.0;1.0;2340900;510;510;21.09510825982358;0.9887628489751231
16;512;1;2;a;a;1;0.112282;0.112282;;20.848474;20.848474;5.433922;0.0;1.0;2340900;510;510;92.65955362391122;0.225
16;512;1;2;b;b;1;0.504416;0.504416;;4.640812;4.640812;5.433922;0.0;1.0;2340900;510;510;20.625832646069913;0.225
16;512;1;2;c;c;1;0.112326;0.112326;;20.84016;20.84016;5.433922;2448.0;1.0;2340900;510;510;20.420704022221035;1.0205442902881536
16;512;1;2;d;d;1;0.11223;0.11223;;20.857986;20.857986;5.433922;2448.0;1.0;2340900;510;510;20.438171611868484;1.0205442902881536
16;512;1;8;a;a;1;0.11392;0.11392;;20.548631;20.548631;5.433922;0.0;1.0;2340900;510;510;91.32724719101124;0.225
16;512;1;8;b;b;1;0.118555;0.118555;;19.745233;19.745233;5.433922;0.0;1.0;2340900;510;510;87.75673737927545;0.225
16;512;1;8;c;c;1;0.1118;0.1118;;20.938282;20.938282;5.433922;9360.0;1.0;2340900;510;510;20.022182468694098;1.0457542618205211
16;512;1;8;d;d;1;0.482602;0.482602;;4.850585;4.850585;5.433922;9360.0;1.0;2340900;510;510;4.638356243861401;1.0457542618205211
16;512;20;1;a;a;1;1.603123;1.603123;;233.606428;233.606428;746.194192;0.0;1.0;374499904;472;472;934.9817524918549;0.2498513674197384
16;512;20;1;b;b;1;1.469133;1.469133;;254.912219;254.912219;746.194192;0.0;1.0;374499904;472;472;1020.2553152097189;0.2498513674197384
16;512;20;1;c;c;1;0.642866;0.642866;;582.547733;582.547733;746.194192;12544.0;1.0;374499904;472;472;18.947550500415325;30.745260713309936
16;512;20;1;d;d;1;1.334886;1.334886;;280.548154;280.548154;746.194192;12544.0;1.0;374499904;472;472;9.124926023645466;30.745260713309936
16;512;20;2;a;a;1;2.368205;2.368205;;158.136615;158.136615;746.194192;0.0;1.0;374499904;472;472;632.9227207948636;0.2498513674197384
16;512;20;2;b;b;1;2.297037;2.297037;;163.036096;163.036096;746.194192;0.0;1.0;374499904;472;472;652.532263085009;0.2498513674197384
16;512;20;2;c;c;1;0.66688;0.66688;;561.570164;561.570164;746.194192;16128.0;1.0;374499904;472;472;12.21919385796545;45.958036191134426
16;512;20;2;d;d;1;2.666189;2.666189;;140.462634;140.462634;746.194192;16128.0;1.0;374499904;472;472;3.056323463940478;45.958036191134426
16;512;20;8;a;a;1;7.819821;7.819821;;47.891109;47.891109;746.194192;0.0;1.0;374499904;472;472;191.67839673056457;0.2498513674197384
16;512;20;8;b;b;1;7.804467;7.804467;;47.985327;47.985327;746.194192;0.0;1.0;374499904;472;472;192.05549232253784;0.2498513674197384
16;512;20;8;c;c;1;2.718907;2.718907;;137.739129;137.739129;746.194192;37632.0;1.0;374499904;472;472;1.98865794232756;69.26235736944274
16;512;20;8;d;d;1;5.420595;5.420595;;69.088337;69.088337;746.194192;37632.0;1.0;374499904;472;472;0.9974875451864602;69.26235736944274
16;1024;1;1;a;a;1;0.099922;0.099922;;94.077315;94.077315;20.386633;0.0;1.0;9400356;1022;1022;418.1197333920458;0.225
16;1024;1;1;b;b;1;0.102861;0.102861;;91.389104;91.389104;20.386633;0.0;1.0;9400356;1022;1022;406.1729907350697;0.225
16;1024;1;1;c;c;1;0.100352;0.100352;;93.673827;93.673827;20.386633;1296.0;1.0;9400356;1022;1022;94.53077168367348;0.9909347660723532
16;1024;1;1;d;d;1;0.100864;0.100864;;93.198322;93.198322;20.386633;1296.0;1.0;9400356;1022;1022;94.05092005076142;0.9909347660723532
16;1024;1;2;a;a;1;0.100131;0.100131;;93.880387;93.880387;20.386633;0.0;1.0;9400356;1022;1022;417.24700642158774;0.225
16;1024;1;2;b;b;1;0.100352;0.100352;;93.673827;93.673827;20.386633;0.0;1.0;9400356;1022;1022;416.32812500000006;0.225
16;1024;1;2;c;c;1;0.099174;0.099174;;94.786116;94.786116;20.386633;2448.0;1.0;9400356;1022;1022;92.6799362736201;1.0227294091023822
16;1024;1;2;d;d;1;0.099738;0.099738;;94.250872;94.250872;20.386633;2448.0;1.0;9400356;1022;1022;92.15584832260522;1.0227294091023822
16;1024;1;8;a;a;1;0.432691;0.432691;;21.725323;21.725323;20.386633;0.0;1.0;9400356;1022;1022;96.5570349279278;0.225
16;1024;1;8;b;b;1;0.428235;0.428235;;21.951386;21.951386;20.386633;0.0;1.0;9400356;1022;1022;97.56175931439515;0.225
16;1024;1;8;c;c;1;0.101;0.101;;93.072833;93.072833;20.386633;9360.0;1.0;9400356;1022;1022;88.81441584158415;1.0479473495516738
16;1024;1;8;d;d;1;0.101171;0.101171;;92.91534;92.91534;20.386633;9360.0;1.0;9400356;1022;1022;88.66430103488155;1.0479473495516738
16;1024;20;1;a;a;1;7.019566;7.019566;;231.871637;231.871637;3221.352424;0.0;1.0;1627638336;984;984;928.0383385525544;0.2498513674197384
